Model,MSE,MAE,R2,CV R2 Mean,CV R2 Std
Linear Regression,0.11193176304458567,0.23382750379196696,0.32853136693906504,-0.5296706425614046,1.6361549962607782
Random Forest,0.07464441913439636,0.1443507972665148,0.5522148073211728,0.5226530184097904,0.011855834978424814
Gradient Boosting,0.09355698329512903,0.18320073984321467,0.43876002684366056,0.41874640994438883,0.04077258331478832
